2024-11-13 23:57:44,487 INFO    Thread-10 (_run_job):15888 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_setup.py:_flush():79] Configure stats pid to 15888
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_setup.py:_flush():79] Loading settings from C:\Users\barbo\.config\wandb\settings
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_setup.py:_flush():79] Loading settings from C:\Users\barbo\brain classifier repo\brain_classifier\wandb\settings
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'graph-classification-graphs_sc_combined', 'entity': 'barbonigiorgia-sapienza-universit-di-roma', 'root_dir': 'C:\\Users\\barbo\\brain classifier repo\\brain_classifier', 'sweep_id': '39d3suuj', 'run_id': '1qo6aru0', 'sweep_param_path': 'C:\\Users\\barbo\\brain classifier repo\\brain_classifier\\wandb\\sweep-39d3suuj\\config-1qo6aru0.yaml'}
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'src\\main.py', 'program_abspath': 'c:\\Users\\barbo\\brain classifier repo\\brain_classifier\\src\\main.py', 'program': 'c:\\Users\\barbo\\brain classifier repo\\brain_classifier\\src\\main.py'}
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_init.py:_log_setup():534] Logging user logs to C:\Users\barbo\brain classifier repo\brain_classifier\wandb\run-20241113_235744-1qo6aru0\logs\debug.log
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_init.py:_log_setup():535] Logging internal logs to C:\Users\barbo\brain classifier repo\brain_classifier\wandb\run-20241113_235744-1qo6aru0\logs\debug-internal.log
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():621] calling init triggers
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():628] wandb.init called with sweep_config: {'batch_size': 32, 'in_channels': 8, 'learning_rate': 0.00011669847931404637, 'num_epochs': 5, 'num_heads': 1, 'optimizer': 'sgd', 'out_channels': 8, 'random_state': 42, 'test_size': 0.3, 'weight_decay': 0.001}
config: {'method': 'random', 'metric': {'name': 'val_f1', 'goal': 'maximize'}, 'parameters': {'optimizer': {'values': ['adam', 'sgd']}, 'test_size': {'value': 0.3}, 'learning_rate': {'distribution': 'log_uniform_values', 'min': 1e-05, 'max': 0.01}, 'out_channels': {'values': [4, 8, 12, 16]}, 'num_heads': {'values': [1, 2, 3, 4, 5]}, 'num_epochs': {'value': 5}, 'weight_decay': {'values': [0, 1e-06, 1e-05, 0.0001, 0.001]}, 'batch_size': {'values': [8, 16, 32]}, 'random_state': {'value': 42}, 'in_channels': {'value': 8}}}
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():671] starting backend
2024-11-13 23:57:44,488 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():675] sending inform_init request
2024-11-13 23:57:44,497 INFO    Thread-10 (_run_job):15888 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-13 23:57:44,500 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():688] backend started and connected
2024-11-13 23:57:44,519 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_config_callback():1390] config_cb None None {'batch_size': 32, 'in_channels': 8, 'learning_rate': 0.00011669847931404637, 'num_epochs': 5, 'num_heads': 1, 'optimizer': 'sgd', 'out_channels': 8, 'random_state': 42, 'test_size': 0.3, 'weight_decay': 0.001}
2024-11-13 23:57:44,522 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():783] updated telemetry
2024-11-13 23:57:44,572 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-13 23:57:46,017 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():867] starting run threads in backend
2024-11-13 23:57:46,178 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_console_start():2463] atexit reg
2024-11-13 23:57:46,178 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-13 23:57:46,179 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-13 23:57:46,179 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-13 23:57:46,182 INFO    Thread-10 (_run_job):15888 [wandb_init.py:init():911] run started, returning control to user process
2024-11-13 23:57:46,566 INFO    Thread-10 (_run_job):15888 [wandb_watch.py:_watch():71] Watching
2024-11-13 23:58:33,976 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_finish():2158] finishing run barbonigiorgia-sapienza-universit-di-roma/graph-classification-graphs_sc_combined/1qo6aru0
2024-11-13 23:58:33,984 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_atexit_cleanup():2426] got exitcode: 1
2024-11-13 23:58:33,984 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_restore():2408] restore
2024-11-13 23:58:33,984 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_restore():2414] restore done
2024-11-13 23:58:36,148 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_footer_history_summary_info():3975] rendering history
2024-11-13 23:58:36,148 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_footer_history_summary_info():4007] rendering summary
2024-11-13 23:58:36,156 INFO    Thread-10 (_run_job):15888 [wandb_run.py:_footer_sync_info():3934] logging synced files
